ticker,datetime,close_price,event_code,window_suggested,date
IDT,2021-09-22 13:30:01.133766,41.37,E10_FirstGreenBounce,"[-3,+3]",2021-09-22
BIMI,2021-09-23 11:38:32.147977,0.69,E10_FirstGreenBounce,"[-3,+3]",2021-09-23
TWIN,2021-09-27 13:30:01.514057,10.66,E10_FirstGreenBounce,"[-3,+3]",2021-09-27
CGNT,2021-09-28 11:45:15.326090,20.6,E10_FirstGreenBounce,"[-3,+3]",2021-09-28
NAII,2021-09-28 13:30:00.151574,14.28,E10_FirstGreenBounce,"[-3,+3]",2021-09-28
QDEL,2021-09-29 11:29:27.871878,139.26,E10_FirstGreenBounce,"[-3,+3]",2021-09-29
LPSN,2021-09-30 08:46:18.539944,58.16,E10_FirstGreenBounce,"[-3,+3]",2021-09-30
EYPT,2021-09-30 13:29:59.505978,10.32,E10_FirstGreenBounce,"[-3,+3]",2021-09-30
TPX,2021-10-01 11:00:19.151826,46.41,E10_FirstGreenBounce,"[-3,+3]",2021-10-01
RCMT,2021-10-01 12:37:51.934063,6.1699,E10_FirstGreenBounce,"[-3,+3]",2021-10-01
UONEK,2021-10-01 13:30:01.119398,7.0,E10_FirstGreenBounce,"[-3,+3]",2021-10-01
MGPI,2021-10-01 13:30:01.521522,66.25,E10_FirstGreenBounce,"[-3,+3]",2021-10-01
NAII,2021-10-04 13:30:02.038856,13.0,E10_FirstGreenBounce,"[-3,+3]",2021-10-04
ATRC,2021-10-05 13:30:00.761232,67.56,E10_FirstGreenBounce,"[-3,+3]",2021-10-05
NSSC,2021-10-05 13:30:01.000282,43.0,E10_FirstGreenBounce,"[-3,+3]",2021-10-05
ALF,2021-10-06 08:03:57.086146,6.0,E10_FirstGreenBounce,"[-3,+3]",2021-10-06
EIGR,2021-10-06 13:30:00.532364,6.51,E10_FirstGreenBounce,"[-3,+3]",2021-10-06
TNXP,2021-10-07 08:01:06.009142,0.5351,E10_FirstGreenBounce,"[-3,+3]",2021-10-07
ITRM,2021-10-07 08:02:26.866859,0.5233,E10_FirstGreenBounce,"[-3,+3]",2021-10-07
EOLS,2021-10-07 12:49:49.483584,7.29,E10_FirstGreenBounce,"[-3,+3]",2021-10-07
CPSS,2021-10-12 13:54:20.350228,5.92,E10_FirstGreenBounce,"[-3,+3]",2021-10-12
LPSN,2021-10-13 08:00:32.604099,60.31,E10_FirstGreenBounce,"[-3,+3]",2021-10-13
DISCB,2021-10-13 12:31:34.320159,45.77,E10_FirstGreenBounce,"[-3,+3]",2021-10-13
QDEL,2021-10-13 12:58:47.083159,134.85,E10_FirstGreenBounce,"[-3,+3]",2021-10-13
EYPT,2021-10-13 13:30:00.561352,10.48,E10_FirstGreenBounce,"[-3,+3]",2021-10-13
DCTH,2021-10-14 13:30:02.146939,9.66,E10_FirstGreenBounce,"[-3,+3]",2021-10-14
SLGL,2021-10-15 12:29:29.461648,9.36,E10_FirstGreenBounce,"[-3,+3]",2021-10-15
UONEK,2021-10-18 09:19:28.188806,6.695,E10_FirstGreenBounce,"[-3,+3]",2021-10-18
MGPI,2021-10-18 13:30:00.614245,64.13,E10_FirstGreenBounce,"[-3,+3]",2021-10-18
QDEL,2021-10-19 09:36:48.883632,129.06,E10_FirstGreenBounce,"[-3,+3]",2021-10-19
EIGR,2021-10-19 12:58:02.979209,6.49,E10_FirstGreenBounce,"[-3,+3]",2021-10-19
NSSC,2021-10-19 12:58:59.446989,44.54,E10_FirstGreenBounce,"[-3,+3]",2021-10-19
RCMT,2021-10-19 13:30:00.289342,6.33,E10_FirstGreenBounce,"[-3,+3]",2021-10-19
BIMI,2021-10-20 10:40:30.572168,0.58,E10_FirstGreenBounce,"[-3,+3]",2021-10-20
CGNT,2021-10-20 13:22:51.879909,21.12,E10_FirstGreenBounce,"[-3,+3]",2021-10-20
NAII,2021-10-20 13:38:36.925251,13.7,E10_FirstGreenBounce,"[-3,+3]",2021-10-20
IDT,2021-10-21 13:30:01.043651,48.16,E10_FirstGreenBounce,"[-3,+3]",2021-10-21
PRFT,2021-10-22 12:33:44.528172,122.49,E10_FirstGreenBounce,"[-3,+3]",2021-10-22
OSS,2021-10-25 11:23:28.094456,5.09,E10_FirstGreenBounce,"[-3,+3]",2021-10-25
SLGL,2021-10-25 13:30:00.566769,9.07,E10_FirstGreenBounce,"[-3,+3]",2021-10-25
HZN,2021-10-25 13:30:00.914510,7.41,E10_FirstGreenBounce,"[-3,+3]",2021-10-25
TNXP,2021-10-26 08:28:23.771936,0.5626,E10_FirstGreenBounce,"[-3,+3]",2021-10-26
NAII,2021-10-27 13:30:00.541613,12.71,E10_FirstGreenBounce,"[-3,+3]",2021-10-27
IDT,2021-10-27 13:30:00.893581,46.0,E10_FirstGreenBounce,"[-3,+3]",2021-10-27
CPSS,2021-10-27 13:30:01.206179,6.58,E10_FirstGreenBounce,"[-3,+3]",2021-10-27
EIGR,2021-10-28 08:00:00.808503,6.44,E10_FirstGreenBounce,"[-3,+3]",2021-10-28
SBNY,2021-10-28 11:00:00.129617,296.01,E10_FirstGreenBounce,"[-3,+3]",2021-10-28
SND,2021-10-28 13:30:00.409432,2.41,E10_FirstGreenBounce,"[-3,+3]",2021-10-28
TACT,2021-10-28 13:30:01.119208,14.495,E10_FirstGreenBounce,"[-3,+3]",2021-10-28
ALF,2021-10-29 08:00:00.968752,4.32,E10_FirstGreenBounce,"[-3,+3]",2021-10-29
QDEL,2021-10-29 12:04:51.203913,131.92,E10_FirstGreenBounce,"[-3,+3]",2021-10-29
EOLS,2021-10-29 13:30:00.240558,7.95,E10_FirstGreenBounce,"[-3,+3]",2021-10-29
ITRM,2021-11-01 08:00:01.221471,0.5459,E10_FirstGreenBounce,"[-3,+3]",2021-11-01
CGNT,2021-11-01 11:00:00.034011,20.05,E10_FirstGreenBounce,"[-3,+3]",2021-11-01
WOW,2021-11-01 13:30:00.614119,19.26,E10_FirstGreenBounce,"[-3,+3]",2021-11-01
EYPT,2021-11-01 13:30:01.572411,12.04,E10_FirstGreenBounce,"[-3,+3]",2021-11-01
BIMI,2021-11-03 08:00:54.479379,0.7461,E10_FirstGreenBounce,"[-3,+3]",2021-11-03
NSSC,2021-11-04 08:51:43.953140,46.32,E10_FirstGreenBounce,"[-3,+3]",2021-11-04
EOLS,2021-11-05 13:10:31.511812,7.44,E10_FirstGreenBounce,"[-3,+3]",2021-11-05
LPSN,2021-11-08 09:00:10.062308,49.06,E10_FirstGreenBounce,"[-3,+3]",2021-11-08
UONEK,2021-11-08 09:10:01.197090,4.48,E10_FirstGreenBounce,"[-3,+3]",2021-11-08
SBNY,2021-11-09 09:09:55.330569,319.35,E10_FirstGreenBounce,"[-3,+3]",2021-11-09
USNA,2021-11-10 00:00:00.007619,100.52,E10_FirstGreenBounce,"[-3,+3]",2021-11-10
TPX,2021-11-11 00:00:00.003180,43.82,E10_FirstGreenBounce,"[-3,+3]",2021-11-11
EIGR,2021-11-11 14:30:01.482915,7.4486,E10_FirstGreenBounce,"[-3,+3]",2021-11-11
BIMI,2021-11-12 00:00:16.085486,0.6301,E10_FirstGreenBounce,"[-3,+3]",2021-11-12
ALF,2021-11-12 00:02:44.912809,4.69,E10_FirstGreenBounce,"[-3,+3]",2021-11-12
UONEK,2021-11-12 00:24:33.795209,4.5,E10_FirstGreenBounce,"[-3,+3]",2021-11-12
TNXP,2021-11-12 00:30:26.214461,0.5445,E10_FirstGreenBounce,"[-3,+3]",2021-11-12
MGPI,2021-11-12 14:30:01.506726,71.2254,E10_FirstGreenBounce,"[-3,+3]",2021-11-12
PRFT,2021-11-15 12:01:58.670411,140.53,E10_FirstGreenBounce,"[-3,+3]",2021-11-15
SBNY,2021-11-15 14:12:06.819928,319.2,E10_FirstGreenBounce,"[-3,+3]",2021-11-15
TACT,2021-11-15 14:30:02.644417,12.98,E10_FirstGreenBounce,"[-3,+3]",2021-11-15
SND,2021-11-16 00:55:32.146816,2.1,E10_FirstGreenBounce,"[-3,+3]",2021-11-16
EOLS,2021-11-16 12:53:23.668843,7.0346,E10_FirstGreenBounce,"[-3,+3]",2021-11-16
ATRC,2021-11-16 14:29:59.503284,74.03,E10_FirstGreenBounce,"[-3,+3]",2021-11-16
ALF,2021-11-17 00:18:36.758427,4.32,E10_FirstGreenBounce,"[-3,+3]",2021-11-17
CRD.A,2021-11-18 00:00:00.002169,8.03,E10_FirstGreenBounce,"[-3,+3]",2021-11-18
HZN,2021-11-18 00:00:00.002770,7.04,E10_FirstGreenBounce,"[-3,+3]",2021-11-18
AGM,2021-11-18 00:00:00.007525,127.27,E10_FirstGreenBounce,"[-3,+3]",2021-11-18
TPX,2021-11-19 00:00:00.002577,44.21,E10_FirstGreenBounce,"[-3,+3]",2021-11-19
IDT,2021-11-19 00:00:00.004961,62.46,E10_FirstGreenBounce,"[-3,+3]",2021-11-19
EIGR,2021-11-19 12:28:55.570119,7.34,E10_FirstGreenBounce,"[-3,+3]",2021-11-19
ITRM,2021-11-20 00:03:14.427787,0.505,E10_FirstGreenBounce,"[-3,+3]",2021-11-20
TNXP,2021-11-22 09:14:27.403517,0.4855,E10_FirstGreenBounce,"[-3,+3]",2021-11-22
CPSS,2021-11-22 12:00:00.073165,8.6199,E10_FirstGreenBounce,"[-3,+3]",2021-11-22
OSS,2021-11-23 00:17:49.771880,5.23,E10_FirstGreenBounce,"[-3,+3]",2021-11-23
MGPI,2021-11-23 00:32:15.010724,74.59,E10_FirstGreenBounce,"[-3,+3]",2021-11-23
LPSN,2021-11-24 09:10:21.279929,39.68,E10_FirstGreenBounce,"[-3,+3]",2021-11-24
PRFT,2021-11-24 12:39:00.989323,135.0,E10_FirstGreenBounce,"[-3,+3]",2021-11-24
EOLS,2021-11-24 13:26:13.143796,6.12,E10_FirstGreenBounce,"[-3,+3]",2021-11-24
DCTH,2021-11-24 14:30:00.828150,9.74,E10_FirstGreenBounce,"[-3,+3]",2021-11-24
QDEL,2021-11-26 09:25:20.228606,140.0,E10_FirstGreenBounce,"[-3,+3]",2021-11-26
GRIL,2021-11-26 11:14:12.565408,1.098,E10_FirstGreenBounce,"[-3,+3]",2021-11-26
TWIN,2021-11-26 14:30:01.023131,11.82,E10_FirstGreenBounce,"[-3,+3]",2021-11-26
AGM,2021-11-30 00:00:00.003600,122.78,E10_FirstGreenBounce,"[-3,+3]",2021-11-30
ATRC,2021-12-01 12:32:42.292042,64.91,E10_FirstGreenBounce,"[-3,+3]",2021-12-01
CRD.A,2021-12-02 00:00:00.002061,7.49,E10_FirstGreenBounce,"[-3,+3]",2021-12-02
TNXP,2021-12-02 00:07:00.200701,0.412,E10_FirstGreenBounce,"[-3,+3]",2021-12-02
DISCB,2021-12-02 14:28:19.446774,38.21,E10_FirstGreenBounce,"[-3,+3]",2021-12-02
NAII,2021-12-03 14:22:56.776765,12.92,E10_FirstGreenBounce,"[-3,+3]",2021-12-03
ITRM,2021-12-04 00:09:52.118698,0.44,E10_FirstGreenBounce,"[-3,+3]",2021-12-04
