ticker,trading_day,rvol30,pctchg_d,dollar_vol_d,close_d,vol_d,vwap_d
LDK,2009-06-08,2.7631661915885704,0.1950959488272921,105024606.51730001,11.21,10587100.0,9.920054265785721
AXL,2009-06-10,4.112828844156473,0.2869080779944291,94142387.19019999,4.62,20954043.0,4.492802997025442
FTK,2009-06-10,3.8018747127609314,0.25652173913043463,8360910.964696027,17.34,533153.8331,15.681986034090517
LDK,2009-06-10,4.243620212445398,0.22794759825327526,272391214.7213,14.06,20613994.0,13.21389803069216
LVLT,2009-06-10,5.367018119301435,0.17699115044247793,78603943.38547319,19.95,4147169.4671999994,18.95363669296673
MLNK,2009-06-10,7.027097637168666,0.15226337448559657,7357447.469699997,5.6,1383413.0,5.3183304405119785
NCS,2009-06-10,3.2516780545610064,-0.1825,11827922.117500002,3.27,3577650.0,3.3060590380557073
ACAS,2009-06-11,3.837732730123721,0.29815939542862435,80810463.71601743,2.8,31807803.674999993,2.5405860945857164
AIB,2009-06-11,2.251289088985329,0.25912408759124084,53541519.42160002,6.9,8216245.0,6.516543679211126
SEH,2009-06-11,5.860347890167853,0.248,9157728.387100002,7.8,1177482.0,7.777382912944743
STAA,2009-06-11,22.646492582948902,0.644295302013423,31049999.6118,2.45,10839678.0,2.864476196783705
BDSI,2009-06-12,6.639120216449368,0.1796875,12095695.562199995,7.55,1770928.0,6.830145303592238
ETFC,2009-06-12,3.138426603075835,0.1867469879518071,139225141.70119992,19.7,7449409.399999993,18.689420090296025
MXT,2009-06-12,21.12539072725313,-0.1847540983606557,5491691.365,2.4865,2195114.0,2.5017795727237857
ACAS,2009-06-15,2.371625972734797,0.15524761776942686,67164930.29505001,3.4431,21260894.025000006,3.159083066595079
LJPC,2009-06-15,2.982104175300223,0.2682926829268293,5051576.3780520065,13.0,408555.9399999998,12.364466853797325
MPG,2009-06-15,3.8576474077942478,0.5238095238095237,6464369.606100002,1.6,4841809.0,1.3351145421267139
AOI,2009-06-16,6.476398641174524,-0.16396761133603244,12517951.511,4.13,3050542.0,4.1035171818647305
MRVC,2009-06-16,20.729364221662273,-0.19333333333333336,9852989.998120002,9.196,1179747.4,8.351779370838202
LIZ,2009-06-18,7.846809505238057,-0.22564102564102562,54814642.90019998,3.02,17079183.0,3.209441745556563
ATAI,2009-06-22,14.258440508823307,0.17684478371501267,10203977.218700001,9.25,1015008.0,10.053100289554369
LZB,2009-06-23,2.7406510412861778,0.20297029702970293,11187661.19789999,4.86,2451011.0,4.564508767157712
MGRM,2009-06-23,23.367370212911343,1.7349397590361448,33384336.280999985,4.54,7386615.0,4.519571722771524
APAC,2009-06-24,2.179572600641275,0.33144475920679906,6611241.526400001,4.7,1450137.0,4.5590461635004145
CPC,2009-06-24,21.633234667616208,-0.6029281277728482,89382500.11030006,8.95,9287276.0,9.624189063650102
CBK,2009-06-25,4.14338911149206,0.15875912408759119,5664847.428299998,6.35,908469.0,6.235597943683271
HTZ,2009-06-25,2.1174135142102983,0.1583452211126961,124070540.16619998,8.12,16014924.0,7.747182575839885
NCS,2009-06-25,2.2848964938158898,0.18500000000000005,6465440.5234999955,2.37,2817878.0,2.294435927850672
TWB,2009-06-25,9.276156465533253,0.29536679536679533,40997157.48879999,6.71,6242776.0,6.567135756400677
UTA,2009-06-25,2.000614197703621,0.1611328125,6158189.386399997,11.89,568473.0,10.832861695102489
ATSG,2009-06-26,3.697144265541496,0.2075471698113207,5337564.2285,2.4,2305061.0,2.3155848059986264
BIOS,2009-06-26,7.626852194223738,0.22406639004149387,10795237.985599998,5.9,1905192.0,5.666220509848875
FNM,2009-06-26,2.8769081763330475,-0.15625,19863751.22529998,0.54,34405489.0,0.5773425055897325
GRC,2009-06-26,5.348415950836374,0.1546134663341645,7423210.4740625,14.816,513479.6875,14.456677946121285
MGI,2009-06-26,11.992858121476054,0.25383304940374796,8792140.972525,14.72,598519.625,14.689812339110853
NCS,2009-06-26,2.771043806482437,0.1898734177215189,9955296.0257,2.82,3668298.0,2.713873307375791
ZIXI,2009-06-26,8.159350711303587,0.17567567567567566,8882317.3769,1.74,5128982.0,1.7317895396981313
ZN,2009-06-26,10.934606476266008,0.7479564032697548,14041765.343099998,12.83,1213293.0,11.573268240317878
TRW,2009-06-29,4.693864428261384,0.24315443592552022,54954953.84640004,11.35,5095241.0,10.785545540711428
NEXM,2009-06-30,5.74920265702858,-0.21666666666666667,6192286.231433394,7.05,882505.3337999989,7.0167125276964555
RZ,2009-06-30,9.718476145386537,-0.2727272727272728,28115655.44970001,2.8,10031011.0,2.8028735537923355
VICL,2009-06-30,6.969480382028301,0.22727272727272707,21699750.51856864,18.9,1147786.8573,18.905731826912632
BEAT,2009-07-01,15.046605525199753,-0.4111519607843138,231494272.4744001,9.61,23376941.0,9.902675994878889
IMMR,2009-07-01,6.634422684168856,-0.23076923076923084,6110107.338899999,3.8,1573126.0,3.884054639552076
IVN,2009-07-01,2.6288826446701936,0.2678797835675637,32306326.7081,7.1,4975504.0,6.49307622064016
MENT,2009-07-01,2.453260833471306,0.15173674588665453,12840704.034500001,6.3,2112944.0,6.077162496734415
MGI,2009-07-01,7.500848701335681,0.2702702702702702,10124280.100762503,18.8,552653.125,18.31941165765145
SPAR,2009-07-01,3.539602091477088,-0.16899999999999993,13450100.759000009,8.31,1623592.0,8.284162991071653
UIS,2009-07-01,5.353931789591718,0.19205298013245042,39707280.88272,18.0,2220511.7999999993,17.88204002461055
SPPI,2009-07-06,3.1258777424948385,-0.16030534351145032,29796847.319599967,5.5,5356298.0,5.562955481491128
AXL,2009-07-07,3.2068882862115666,-0.1964285714285714,40107987.423899956,2.25,18088091.0,2.217369838746386
PTIE,2009-07-07,5.3465731850898806,-0.15300546448087426,5444342.8462,4.65,1174635.0,4.634923057971199
AXL,2009-07-08,2.3479647363599123,-0.20444444444444443,27371711.182100005,1.79,14036530.0,1.9500340313524784
SMRT,2009-07-10,3.067471153041428,0.1512820512820514,9199825.016299998,8.98,1066577.0,8.62556103900609
